# time  ID  size  fromHost  toHost  TTL  isResponse
700.0000 M8 77 c8 c7 300 N 
700.0000 M6 96 c6 c16 300 N 
700.0000 M4 55 c4 c25 300 N 
700.0000 M5 66 c5 c22 300 N 
700.0000 M3 22 c3 c19 300 N 
700.0000 M2 46 c2 c22 300 N 
700.0000 M12 75 c12 c8 300 N 
700.0000 M11 88 c11 c25 300 N 
700.0000 M13 36 c13 c29 300 N 
700.0000 M9 80 c9 c8 300 N 
700.0000 M1 30 c1 c13 300 N 
700.0000 M14 64 c14 c6 300 N 
700.0000 M0 27 c0 c34 300 N 
700.0000 M7 68 c7 c23 300 N 
700.0000 M10 60 c10 c35 300 N 
1400.1000 M8 84 c8 c24 300 N 
1400.1000 M6 66 c6 c21 300 N 
1400.1000 M9 97 c9 c10 300 N 
1400.1000 M10 57 c10 c19 300 N 
1400.1000 M13 10 c13 c30 300 N 
1400.1000 M4 96 c4 c18 300 N 
1400.1000 M11 87 c11 c23 300 N 
1400.1000 M7 18 c7 c24 300 N 
1400.1000 M2 51 c2 c13 300 N 
1400.1000 M3 62 c3 c5 300 N 
1400.1000 M1 23 c1 c32 300 N 
1400.1000 M14 77 c14 c32 300 N 
1400.1000 M0 64 c0 c24 300 N 
1400.1000 M5 25 c5 c10 300 N 
1400.1000 M12 96 c12 c8 300 N 
2100.2000 M11 84 c11 c36 300 N 
2100.2000 M13 55 c13 c26 300 N 
2100.2000 M6 70 c6 c27 300 N 
2100.2000 M9 26 c9 c15 300 N 
2100.2000 M12 51 c12 c13 300 N 
2100.2000 M3 40 c3 c3 300 N 
2100.2000 M5 37 c5 c7 300 N 
2100.2000 M8 54 c8 c19 300 N 
2100.2000 M4 73 c4 c22 300 N 
2100.2000 M2 20 c2 c17 300 N 
2100.2000 M14 81 c14 c20 300 N 
2100.2000 M7 51 c7 c11 300 N 
2100.2000 M0 16 c0 c26 300 N 
2100.2000 M1 59 c1 c25 300 N 
2100.2000 M10 31 c10 c20 300 N 
2800.3000 M5 51 c5 c1 300 N 
2800.3000 M1 87 c1 c21 300 N 
2800.3000 M2 62 c2 c31 300 N 
2800.3000 M13 26 c13 c6 300 N 
2800.3000 M14 17 c14 c29 300 N 
2800.3000 M10 58 c10 c13 300 N 
2800.3000 M9 76 c9 c25 300 N 
2800.3000 M3 74 c3 c20 300 N 
2800.3000 M0 16 c0 c33 300 N 
2800.3000 M6 17 c6 c30 300 N 
2800.3000 M7 86 c7 c11 300 N 
2800.3000 M11 85 c11 c23 300 N 
2800.3000 M4 98 c4 c8 300 N 
2800.3000 M8 27 c8 c9 300 N 
2800.3000 M12 40 c12 c15 300 N 
3500.4000 M13 78 c13 c33 300 N 
3500.4000 M1 68 c1 c22 300 N 
3500.4000 M4 22 c4 c26 300 N 
3500.4000 M0 74 c0 c0 300 N 
3500.4000 M9 94 c9 c17 300 N 
3500.4000 M10 82 c10 c7 300 N 
3500.4000 M3 53 c3 c33 300 N 
3500.4000 M11 75 c11 c22 300 N 
3500.4000 M6 82 c6 c30 300 N 
3500.4000 M12 27 c12 c4 300 N 
3500.4000 M7 28 c7 c8 300 N 
3500.4000 M14 78 c14 c16 300 N 
3500.4000 M5 83 c5 c38 300 N 
3500.4000 M2 13 c2 c9 300 N 
3500.4000 M8 90 c8 c19 300 N 
4200.5000 M13 51 c13 c21 300 N 
4200.5000 M9 61 c9 c20 300 N 
4200.5000 M12 77 c12 c32 300 N 
4200.5000 M10 76 c10 c32 300 N 
4200.5000 M4 68 c4 c20 300 N 
4200.5000 M11 60 c11 c36 300 N 
4200.5000 M3 69 c3 c37 300 N 
4200.5000 M6 99 c6 c9 300 N 
4200.5000 M5 30 c5 c20 300 N 
4200.5000 M7 20 c7 c29 300 N 
4200.5000 M8 84 c8 c9 300 N 
4200.5000 M14 70 c14 c28 300 N 
4200.5000 M0 34 c0 c5 300 N 
4200.5000 M2 41 c2 c24 300 N 
4200.5000 M1 82 c1 c32 300 N 
4900.5000 M13 80 c13 c29 300 N 
4900.5000 M14 29 c14 c6 300 N 
4900.5000 M2 83 c2 c20 300 N 
4900.5000 M11 58 c11 c2 300 N 
4900.5000 M4 25 c4 c8 300 N 
4900.5000 M10 93 c10 c17 300 N 
