# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1181.1000 M11 88 1 481.1000 c11 c25 291 N c11->c25
1326.0000 M5 66 1 626.0000 c5 c22 289 N c5->c22
1338.8000 M8 77 2 638.8000 c8 c7 289 N c8->c31->c7
1353.6000 M1 30 4 653.6000 c1 c13 289 N c1->c36->c30->c8->c13
1357.1000 M7 68 1 657.1000 c7 c23 289 N c7->c23
1395.1000 M10 60 4 695.1000 c10 c35 288 N c10->c8->c31->c7->c35
1449.6000 M0 27 3 749.6000 c0 c34 287 N c0->c14->c4->c34
1461.4000 M2 46 2 761.4000 c2 c22 287 N c2->c17->c22
1525.8000 M6 96 5 825.8000 c6 c16 286 N c6->c19->c24->c11->c18->c16
1555.8000 M14 64 3 855.8000 c14 c6 285 N c14->c1->c36->c6
1621.3000 M9 97 1 221.2000 c9 c10 296 N c9->c10
1625.4000 M3 22 3 925.4000 c3 c19 284 N c3->c30->c8->c19
1653.2000 M13 36 3 953.2000 c13 c29 284 N c13->c2->c15->c29
1680.6000 M4 55 2 980.6000 c4 c25 283 N c4->c17->c25
1712.9000 M9 80 6 1012.9000 c9 c8 283 N c9->c26->c34->c2->c15->c29->c8
1713.0000 M12 75 2 1013.0000 c12 c8 283 N c12->c29->c8
