# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 618834 p14 p13 300 N 
58.0000 M2 977273 c76 w110 300 N 
84.0000 M3 968122 t123 p6 300 N 
112.0000 M4 523257 w94 w96 300 N 
144.0000 M5 874671 c54 w101 300 N 
170.0000 M6 661032 p33 w90 300 N 
203.0000 M7 612010 c46 c78 300 N 
233.0000 M8 913877 w97 c48 300 N 
265.0000 M9 587686 p26 w93 300 N 
291.0000 M10 863541 c75 p23 300 N 
320.0000 M11 562047 c40 p13 300 N 
345.0000 M12 545086 c52 c62 300 N 
379.0000 M13 693107 w96 w98 300 N 
405.0000 M14 720934 c71 w91 300 N 
431.0000 M15 991397 t122 w91 300 N 
464.0000 M16 875016 c65 p29 300 N 
498.0000 M17 790517 p27 c78 300 N 
523.0000 M18 640222 c40 p15 300 N 
557.0000 M19 580040 w88 w91 300 N 
582.0000 M20 773543 c55 p6 300 N 
609.0000 M21 519301 w80 c63 300 N 
640.0000 M22 854050 c77 t123 300 N 
669.0000 M23 555510 p15 c64 300 N 
698.0000 M24 559729 c57 p11 300 N 
730.0000 M25 982211 w109 c76 300 N 
757.0000 M26 546679 p8 p20 300 N 
785.0000 M27 707738 c64 w117 300 N 
818.0000 M28 627290 c63 c74 300 N 
852.0000 M29 639593 w115 c75 300 N 
881.0000 M30 678625 c54 w83 300 N 
913.0000 M31 948641 w89 c70 300 N 
945.0000 M32 531670 p2 c48 300 N 
976.0000 M33 729461 p24 p0 300 N 
1007.0000 M34 844772 c55 w106 300 N 
1035.0000 M35 998232 c76 w81 300 N 
1060.0000 M36 612761 w114 w111 300 N 
1092.0000 M37 737538 w117 p6 300 N 
1121.0000 M38 698725 w91 c55 300 N 
1154.0000 M39 983915 p17 c73 300 N 
1184.0000 M40 572441 c51 w89 300 N 
1216.0000 M41 838158 p6 c46 300 N 
1249.0000 M42 889225 w113 p36 300 N 
1281.0000 M43 596711 p27 c79 300 N 
1313.0000 M44 568074 c66 c52 300 N 
1345.0000 M45 506581 p37 p25 300 N 
1378.0000 M46 636051 p32 p24 300 N 
1411.0000 M47 734776 c55 c47 300 N 
1437.0000 M48 884863 w92 c73 300 N 
1465.0000 M49 955987 w85 c79 300 N 
1498.0000 M50 976458 p33 c76 300 N 
1528.0000 M51 797770 p5 c53 300 N 
1560.0000 M52 891919 c44 w106 300 N 
1586.0000 M53 883685 w102 w111 300 N 
1617.0000 M54 953264 p17 w104 300 N 
1646.0000 M55 928171 p2 w90 300 N 
1677.0000 M56 782957 c57 w108 300 N 
1707.0000 M57 601479 c43 t121 300 N 
