# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
703.0000 M19 580040 2 146.0000 w88 w91 297 N w88->c47->w91
944.9000 M7 612010 2 741.9000 c46 c78 287 N c46->c47->c78
1166.2000 M2 977273 2 1108.2000 c76 w110 281 N c76->c41->w110
1306.0000 M24 559729 4 608.0000 c57 p11 289 N c57->p22->t121->w90->p11
1574.6000 M12 545086 3 1229.6000 c52 c62 279 N c52->c78->w89->c62
1703.5000 M30 678625 3 822.5000 c54 w83 286 N c54->w86->c77->w83
1739.8000 M10 863541 4 1448.8000 c75 p23 275 N c75->c70->w85->c72->p23
1743.5000 M26 546679 4 986.5000 p8 p20 283 N p8->c70->w95->w81->p20
2072.9000 M11 562047 4 1752.9000 c40 p13 270 N c40->p3->t120->c58->p13
2190.1000 M1 618834 6 2158.1000 p14 p13 264 N p14->p28->w116->c41->w87->c58->p13
2262.0000 M45 506581 4 917.0000 p37 p25 284 N p37->p2->c53->c78->p25
2274.0000 M57 601479 1 567.0000 c43 t121 290 N c43->t121
2428.6000 M6 661032 5 2258.6000 p33 w90 262 N p33->c62->p27->c40->c51->w90
2532.5000 M29 639593 1 1680.5000 w115 c75 271 N w115->c75
2609.3000 M4 523257 8 2497.3000 w94 w96 258 N w94->c66->w112->p26->p37->w103->t120->c57->w96
2627.7000 M48 884863 1 1190.7000 w92 c73 280 N w92->c73
2934.3000 M83 619743 1 457.3000 p16 p15 292 N p16->p15
2980.7000 M25 982211 3 2250.7000 w109 c76 262 N w109->w90->c47->c76
3178.4000 M32 531670 4 2233.4000 p2 c48 262 N p2->p16->p22->w104->c48
3567.7000 M43 596711 3 2286.7000 p27 c79 261 N p27->c55->p25->c79
3647.9000 M88 607095 2 1020.9000 p10 c42 282 N p10->p20->c42
3657.7000 M17 790517 4 3159.7000 p27 c78 247 N p27->c40->p38->p23->c78
3675.1000 M63 895682 1 1787.1000 p15 c69 270 N p15->c69
3917.3000 M44 568074 3 2604.3000 c66 c52 256 N c66->p10->p20->c52
3966.5000 M119 668212 1 412.5000 w112 p15 293 N w112->p15
4089.7000 M69 580609 2 2030.7000 c58 w114 266 N c58->t122->w114
4175.4000 M80 626408 7 1788.4000 w87 c51 270 N w87->w118->c52->w83->p7->w80->t122->c51
4238.2000 M74 766315 3 2024.2000 p6 c41 266 N p6->w93->c70->c41
4403.0000 M38 698725 2 3282.0000 w91 c55 245 N w91->w116->c55
4418.6000 M42 889225 3 3169.6000 w113 p36 247 N w113->p1->t123->p36
4933.9000 M13 693107 9 4554.9000 w96 w98 224 N w96->c49->c73->p35->w104->w94->c68->p37->p25->w98
4973.8000 M151 610562 1 492.8000 c69 w106 291 N c69->w106
5134.8000 M141 518416 2 943.8000 c50 p38 284 N c50->c67->p38
5472.9000 M173 664855 1 340.9000 w118 c46 294 N w118->c46
5697.3000 M23 555510 9 5028.3000 p15 c64 216 N p15->w110->w89->w119->w88->w110->w101->c79->c40->c64
5929.1000 M14 720934 5 5524.1000 c71 w91 207 N c71->c61->p6->c78->c58->w91
